name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
"Ряженка, 2.5%, пюрпак, 450 гр.",4870005359177,pcs,450,,,,
"Ряженка, 2.5%, пюрпак, 900 гр.",4870005359016,pcs,790,,,,
"Сметана ""Домашняя"", 25%,п/стакан, 280 гр.",4870005359283,pcs,"1,125",,,,
"Сметана из топленых сливок, 15%, п/стакан, 380 гр.",4870005357111,pcs,910,,,,
"Сметана, 15% п/стакан, 180 гр.",4870005359214,pcs,615,,,,
"Сметана, 15%, п/стакан, 380 гр.",4870005350488,pcs,875,,,,
"Снежок, 2.5%, Эмиль пюрпак, 450 гр.",4870005359023,pcs,570,,,,
"Творог Кр фольга, 180 вянский, 5%,",4870005359108,pcs,600,,,,
"Творог, 5%, п/мешок, 380 гр.",4870005359061,pcs,"1,160",,,,
"Творожная масса клубника, 4.5%, п/стакан, 180 гр.",4870005359566,pcs,580,,,,
"Творожная масса малина, 4.5%, п/стакан, 180 гр.",4870005359573,pcs,580,,,,
"Творожная масса с ванилином, 4.5%, п/стакан, 180 гр.",4870005352840,pcs,585,,,,
"Творожная масса с вареной сгущенкой и мюсли, 4.5%, п/стакан 180 гр.",4870005359436,pcs,580,,,,
"Творожная масса с грецким орехом, 4.5%, п/стакан, 180 гр.",4870005352864,pcs,580,,,,
"Творожная масса с изюмом, 4.5%, п/стакан, 180 гр.",4870005352857,pcs,585,,,,
"Творожная масса с курагой, 4.5%, п/стакан, 180 гр.",4870005352888,pcs,585,,,,
Творожный десерт клубника 10% 165 гр пэт стакан,4870005359344,pcs,515,,,,
Творожный десерт малина 10% 165 гр пэт стакан,4870005359320,pcs,515,,,,
Творожный десерт черника 10% 165 гр пэт стакан,4870005359337,pcs,515,,,,
"Токтамыш, 2.5%, пюрпак, 450 гр.",4870005359047,pcs,570,,,,
"Токтамыш, 2.5%, пюрпак, 900 гр.",4870005359030,pcs,860,,,,
"Молоко Мое 2,5% 0,95 литр",4870001154462,pcs,725,,,,
"Молоко Мое 3,2% 0,95 литр",4870001154479,pcs,855,,,,
"Молоко Мое Безлактоз 2,5% 0,95 литр",4870002329722,pcs,990,,,,
Сыр чечел вес,2500209230010,pcs,"4,030",,,,
"кефир 2,5 %, 0,450 кг. п\п Натиже",4870003750273,pcs,265,,,,
"кефир 2,5 %, 1 кг. ф\п Натиже",4870003751065,pcs,,,,,
"кефир ""Classic"" 2,5%, 0,9 кг.Натиже",4870003751485,pcs,495,,,,
"кефир ""Protein"" 1 %, 0,9 кг.Натиже",4870003751492,pcs,,,,,
"Айран турецкий 1,4% 0,25 кг KOKSHE milk Натиже",4870003750990,pcs,,,,,
"Молоко 2,2%  0,9 л ф/п Натиже",4870003750358,pcs,,,,,
"Молоко 3,2% 0,9 л  ф/п  Кокшетау Натиже",4870003750983,pcs,,,,,
"Ацидофилин 1,5 %, 0,9 кг.Натиже",4870003751355,pcs,640,,,,
"Йогурт клубника-малина 1,5 %, 0,45 кг.Натиже",4870003751300,pcs,355,,,,
"Йогурт персик-абрикос 1,5 %, 0,45 кг.Натиже",4870003751331,pcs,,,,,
"Йогурт со вкусом манго - маракуйя 1,5% 0,45 кг п/п Натиже",4870003752932,pcs,,,,,
