Номенклатура,Штрихкоды,Ед.,Основной тип цен
"Творог Крестьянский 4 %, 0,4 кг.Натиже",4870003751270,шт,
"Құрт соленый 12 %, 100 гр.Натиже",4870003750266,шт,
"Творожная масса с изюмом 4.5 %, 200 гр.Натиже",4870003751133,шт,
"Творожная масса с изюмом н/ж, 200 гр.Натиже",4870003750709,шт,
"Твор. масса Протейн+ Персик-Маракуя 1.5 %, 140 гр.Натиже",4870003751386,шт,
"Твор. масса Протейн+ Чернослив-Орех 1.5 %, 140 гр.Натиже",4870003750884,шт,
"Твор. масса Протейн+ Злаки-Отруби 1.5 %, 140 гр.Натиже",4870003751393,шт,
"Масло ""Крестьянское"" 72,5 % 0,250 гр Натиже",4870003753304,шт,
"Масло ""Крестьянское"" 71,5 % соленое 0,250 гр Натиже",4870003753311,шт,
"Завтрак с овсянкой, цветочным медом и пробиотиками 2,5 % 0,14 кг п/ст Натиже",4870003751768,шт,385
"Завтрак с овсянкой, яблоком и корицей, обогащенный бефидо 2,5 %  0,14 кг п/стНатиже",4870003751751,шт,385
"Завтрак с овсянкой, бананом и комплексом витаминов  2,5 %  0,14 кг п/ст Натиже",4870003751775,шт,385
"Завтрак обогощенный комплексом витаминов, с овсянкой и сем чиа 2,5% 0,14 кг п/ Натиже",4870003752529,шт,
"MIOS Йогурт ""Греческий"" 6% 0,14 кг п/ст, шт Натиже",4870003752956,шт,
"Йогурт греческий 6% 0,14 кг п/ст Натиже",4870003752512,шт,345
"Йогурт турецкий 3,0% 0,36 кг п/ст KOKSHE milk Натиже",4870235430011,шт,
Сыр плавленый Казахский 140гр. п/ст,4870003751706,шт,
Сыр плавленый Швейцарский 140гр. п/ст Натиже,4870003751690,шт,
Сыр плавленый Английский 140гр. п/ст Натиже,4870003751720,шт,
Сыр плавленый Итальянский 140гр. п/ст Натиже,4870003751713,шт,
"Белые сыры-Сулугуни 45%, 0,35 кгНатиже",4870003750624,шт,"2,320"
"Белые сыры-полутвердый Диетический 20%, 0,35 кгНатиже",4870003750433,шт,"2,385"
"Сыр полутвердый ""Моцарелла с грибами"" 0,25 кгНатиже",4870003752598,шт,
"Сыр мягкий Моцарелла 0,250кгНатиже",4870003752079,шт,"1,745"
Сливочное 500 гр Натиже,4870003753007,шт,
С сыром 500 гр Натиже,4870003752994,шт,
С фисташками 500 гр Натиже,4870003753014,шт,
Со сладким кунжутом 500 гр Натиже,4870003753045,шт,
С соленым кунжутом 500 гр Натиже,4870003753038,шт,
Сливочное 250 гр Натиже,4870246170012,шт,
"Бурненское молоко 2,5% 1 л Tetro Fino Натиже",4870004320185,шт,
"Бурненское молоко 3,2% 1 л Tetro Fino Натиже",4870004320192,шт,
"Живой йогурт со вкусом персик 1,5% 0,9 кг п/п Натиже",4870003752611,шт,640
"кефир ""Classic"" 1%, 0,9 кг.Натиже",4870003751492,шт,495
Активиа Йогурт 120 г. мюсли,4870206411667 4870206415535,шт,260
Активна Йогурт 120 г. отруби-злаки,4870206411698 4870206415542,шт,275
Активиа Йогурт 120 г. клубника,4870206411940 4870206415528,шт,275
Активиа Йогурт 120 г. чернослив,4870206411650 4870206415559,шт,275
Активиа 270гр Персик,4870206414996,шт,510
Активиа 270 гр Земляника-Клубника,4870206411612,шт,510
