Номенклатура,Штрихкоды,Ед.,Основной тип цен
Поджарка с гарниром  FOOD LAB,4673759460348 2546006140015 2546003930015 2546000890015 2546003860015,шт,985
Бестроганов с гарниром  FOOD LAB,4673759460607,шт,"1,120"
Биточки с гарниром  FOOD LAB,4673759460003,шт,980
Курица по мексикански с рисом  FOOD LAB,4673759460195,шт,"1,120"
Мясо по купечески  FOOD LAB,4673759460843,шт,700
Курица по тайски с гарниром FOOD LAB,4673759460201,шт,"1,095"
Тефтели куриные с гарниром FOOD LAB,4673759460386,шт,980
Говядина с овощами FOOD LAB,4673759460089,шт,"1,120"
Шашлычок из курицы с гарниром FOOD LAB,4673759460393,шт,"1,095"
Котлета Жастар с гарниром FOOD LAB,4673759460614,шт,985
"Компот FOOD LAB 0,5л",4673759460652,шт,450
"Морс FOOD LAB 0,5л",4673759460669,шт,520
Салат провансаль FOOD LAB,2500000000058,шт,540
Салат Изысканный FOOD LAB,4673759460874,шт,700
Салат Французкий FOOD LAB,4673759460768,шт,600
Салат Оливье FOOD LAB,4673759460492,шт,635
Салат Свекольный с сыром FOOD LAB,4673759460638,шт,575
Салат из крабовых палочек FOOD LAB,4673759460423,шт,635
Салат сельдь под Шубой  FOOD LAB,4673759460485,шт,480
Салат Малибу FOOD LAB,4673759460553,шт,"1,095"
Салат Цезарь FOOD LAB,4673759460560,шт,"1,095"
Сосиска печеная в тесте,2500501630013,шт,250
Вареники с картофелем FOOD LAB,4673759460058,шт,540
Лагман по домашнему FOOD LAB,4673759460744,шт,"1,045"
Манты FOOD LAB,4673759460256,шт,"1,095"
Боул с курицей FOOD LAB,4673759460034,шт,"1,560"
Лагман FOOD LAB,2500000000065,шт,985
Жаркое FOOD LAB,4673759460119,шт,"1,120"
Плов FOOD LAB,4673759460331,шт,"1,095"
Блины со сметаной FOOD LAB,4673759460591,шт,540
Мясо по- французки FOOD LAB,4673759460287,шт,"1,140"
Лагман Гуйру FOOD LAB,4673759460096,шт,"1,120"
Сырники со сметаной FOOD LAB,4673759460584,шт,660
Орама FOOD LAB,4673759460300,шт,985
курица по- французки FOOD LAB,4673759460218,шт,990
Котлета Куриная с гарниром FOOD LAB,4673759460713,шт,980
Гуляш с гарниром FOOD LAB,4673759460102,шт,"1,120"
Стейк куриный с гарниром FOOD LAB,4673759460379,шт,980
Бризоль с пюре,4633759460041,шт,965
Голень запеченная с гарниром,4673759460720,шт,"1,095"
Салат овощной,2500803910011,кг,585
Пироги Микс,2500605140012,шт,"3,480"
Манты TM MYRZA FOOD,4870249360052,шт,"1,000"
фаршированный Перец TM MYRZA FOOD,4870249360731,шт,965
Плов TM MYRZA FOOD,4870249360038,шт,"1,000"
Хошан TM MYRZA FOOD,4870249360632,шт,"1,000"
ЛагманTM MYRZA FOOD,4870249360045 4870249360274,шт,"1,000"
Котлета TM MYRZA FOOD,4870249360151,шт,"1,000"
Курица гриль.TM MYRZA FOOD,4870249360243,шт,"1,000"
Орама.TM MYRZA FOOD,4870249360281,шт,"1,000"
Штрудли.TM MYRZA FOOD,4870249360663,шт,"1,000"
Куриное филе.TM MYRZA FOOD,4870249360267,шт,"1,000"
Бризоль с гарнтром FOOD LAB,2500605760012,шт,
Куриные голени.TM MYRZA FOOD,4870249360762,шт,"1,000"
Куырдак.TM MYRZA FOOD,4870249360298,шт,"1,000"
Запеканка.TM MYRZA FOOD,4870249360625,шт,"1,000"
Сардельки с горниром.TM MYRZA FOOD,4870249360748,шт,"1,000"
Жаркое с мясом говядины TM MYRZA FOOD,4870249360229,шт,"1,000"
Тефтели говяжьи с гарниром TM MYRZA FOOD,4870249360601,шт,"1,000"
Тушеное мясо говядины TM MYRZA FOOD,4870249360724,шт,"1,000"
Сосиска жареная в тесте WO,2500804970014,шт,250
Сосиска печеная в тесте WO (ассортименте),2500805150019,шт,250
Куриное Филе TM MYRZA FOOD,4870249360656,шт,"1,000"
Манты с кониной TM MYRZA FOOD,4870249360069,шт,"1,000"
Бешбармак TM MYRZA FOOD,4870249360717,шт,"1,000"
Лапша домашняя TM MYRZA FOOD,4870249360830,шт,"1,000"
Куриная отбивная TM MYRZA FOOD,4870249360199,шт,"1,000"
Хот - дог.Toyasyn,725765443946 725765443946,шт,750
FRENCH DOG.Toyasyn,725765443939,шт,750
Сэндвич.Toyasyn,725765443922,шт,750
Голубцы TM MYRZA FOOD,4870249360595,шт,"1,000"
Спагетти Болоньезе  FOOD LAB,4673759460355,шт,"1,120"
Медальон из говядины с гарниром   FOOD LAB,4673759460263,шт,"1,000"
Салат Провансаль FOOD LAB,4673759460881,шт,565
Онигири в ассортименте,788364601797 788364601803 788364601780 788364601827 788364601834 788364601810 4876006002333 4876006001954 4876006001947 612477692017 612477691980 612477691997 612477692000,шт,720
Филе Морского Языка TM MYRZA FOOD,4870249360816,шт,"1,000"
Кимбап,726529007503,шт,"1,030"
Салат Оливье WO,2500902440013,шт,850
Салат из Свеклы с картофелем пай,2500902480019,шт,500
Котлета ландыш с гарниром FOOD LAB,4673759460157,шт,985
Фрикадельки в сливочно-грибном соусе FOOD LAB,4673759460782,шт,"1,145"
Салат Винегрет  FOOD LAB,4673759460546,шт,600
Салат Фунчоза  FOOD LAB,4673759460522,шт,500
Тефтели говяжьи в сливочном соусе FOOD LAB,4673759460799,шт,"1,120"
Паста курица с грибами FOOD LAB,4673759460324,шт,"1,120"
Манты с тыквой FOOD LAB,4673759460737,шт,985
Бифштекс с яйцом и гарниром  FOOD LAB,4673759460010,шт,985
Бризоль с гарниром  FOOD LAB,2500704650016,шт,
Стейк с помидорами и гарниром FOOD LAB,4673759460362,шт,"1,120"
Курица Карри с гарниром FOOD LAB,4673759460188,шт,"1,120"
Жульен с пюре FOOD LAB,4673759460126,шт,"1,120"
Кассовая зона,,,
Воз.зерна Пшеницы 21 гр Карамельном сиропе.,4620004792969,шт,85
Воздушные зерна Риса 30 гр Сахарном сиропе.,4620004792105,шт,130
Воздушные зерна Риса 30 гр Цукатами в сахарном сиропе.,4620004791870,шт,125
Paleta Sandia Glowstick- Лед.на Арбуз,6929309258155,шт,50
Жев.резинка Lave Is  в ассорти.,57027937 57028040 57028071 57028064 57028057,шт,50
Жеват рез TOYBOX игруш,8681451500404,шт,165
Жеват мармелад TOYBOX фрукт сад 60гр,8681451506710,шт,320
Жеват мармелад TOYBOX червяки 40гр,8681451506215,шт,220
Шоколадное дражже TOYBOX цветной 20гр,8681451504013,шт,220
BEBETO Жев.мар 30 гр Merte Mix,8690146619215,шт,285
BEBETO Pink-Whit M.Marshmallow ASM 30 гр.,8690146131236,шт,185
BEBETO STAR M.Marshmallow Y 30 гр.,8690146119869,шт,185
BEBETO  ICE CREAM Ж.мар. 80 гр.,8690146123637,шт,325
BEBETO OILY J.MIX Ж.мар.ассортим 80 гр,8690146658115,шт,325
Pacif. Nipple Ring-B Форме Соски Кара.,6971138830095,шт,40
Jelly Cone Bebo-ICE-Сочн.Жел.Конф. 45 гр,6937518700389,шт,90
Juicy Jelly Candy - Сочные Жел.Конф.35 гр,6920554109193,шт,70
Яйцо Шоколадное PINOCCHIO 15 гр,6952900110331,шт,210
Kettle Golden Coin - Шоколадная Монета -Сердце,2500008970018,шт,20
Donut Neon Lolipop - Леденцы Пончик 10 гр,6975227860024,шт,50
Fruit Lollipop- Лед.На Пал.Светофор 10 гр,6975227860062,шт,50
Mentos PFruit Grape 8x6x54g,46227744,шт,995
"Mentos PFruit Roll Grape 12x24x15,5g kz",46227720,шт,250
"Mentos PFruit Roll Арбуз12x24x15,5 г",46227737,шт,250
Mentos PFruit Арбуз 8x6x54g,46227751,шт,"1,100"
Mentos PW Мята 8x6x54g,46198051,шт,"1,100"
Mentos PW Клубника 8x6x54g,46198068,шт,990
"Mentos Радуга Mini, 10 г",8935001726074,шт,130
"Mentos PV Roll Нежная мята 12x24x15,5",46214638,шт,250
"MentosPV Roll Клубника 12x24x15,5",46214645,шт,250
Mentos PF Roll Свежая мята 12x24x15.5 Т,80942726,шт,225
"MentosPF Roll Tutti-Frutti 12x24x15,5",46214621,шт,250
Жев Резинка Биг Бабл Банан 16*24*21,46162069,шт,200
Жеват конфета CHCh Клубника 6х12х47г,6921211119227,шт,430
Жеват конфета CHCh Колла 6х12х47г,6921211119258,шт,430
Чупа Чупс CHCh фруктовая-Колла 6х12х47г,4601798100345 46034595,шт,100
Mentos ж/р Тутти Фрути 8*6*54г,46114709,шт,"1,015"
Чупа Чупс 3D апельсин кола 8шб*45шт*15г,6921211117537,шт,220
Чупа Чупс 3D Череп 8DBx45г,6921211117995,шт,250
Чупа Чупс В-РОР тропический 8шб*45шт*15г,6921211114420,шт,230
Чупа Чупс XXL Трио 12*40*29г,4601798024351 46065780,шт,205
Жеват резинка Бабли Чупа Чупс Клубника,46162076,шт,200
Чупа Чупс Мини ассорти 12*100,4601798100550,шт,60
Чупа Чупс Мини пакет 15*15*6гр,4602606012232,шт,620
"Чупа Чупс Мини трубочки, 30х70g",4602606017572,шт,530
Чупа Чупс Сладкая вата 11г,4602606009904,шт,225
Гемотоген Форте детский 25гр,4610008491777,шт,235
Маршмеллоу MALLOW JOY Чебурашка 25гр,4610103315688,шт,
Маршмеллоу MALLOW Влад 25гр,4610103315671,шт,375
Зефирная косичка Маршмел 25гр,6921667894679,шт,435
Маршмеллоу MALLOW Синий Трактор12гр,6919863007757,шт,175
FITNESS STRAW CerBrDspl 16x23.5g N2KZ,5900020023322,шт,370
FITNESS CHOC CerBr Dspl 16x23.5g N22 KZ,5900020023308,шт,370
Шоколад Натс 50гр,46003553,шт,580
Шоколад Натс 66гр,46025418,шт,845
Шоколад KitKat CHUNKY MilK 40гр,3800020453407,шт,680
Шоколад Гудмикс Ориджинал 29гр,4600680027463,шт,310
Шоколад Гудмикс арахис Дуо 46гр,4600680025445,шт,520
Шоколад KitKat NCP Cert 40гр,40052403,шт,680
Шоколад KitKat CHUNKY DUO 64гр,3800020453414,шт,"1,030"
Жев. мармелад КрутФрут 30 гр,4620017452867,шт,70
Жев.мар.КрутФрут Озорные мишки 30 гр,4620017452683,шт,65
Жев.Марм Babyfox бегемоты 30 гр,4620017451907,шт,75
Жев.Марм Babyfox бегемоты 70 гр,4620017451914,шт,140
Жев.Марм Babyfox витаминами ассорти вкусов 30 гр,4620017452607,шт,75
Жеват мармелад Крут фрут 70гр,4620017451686,шт,145
Жеват мармелад Крут фрут бабочки 70гр,4690329010277,шт,150
Яйцо шокол-е с игр-кой Т36 Лицензия,80741244,шт,730
"Драже Тик Так Ягодный Микс, 16 г",42378594,шт,375
"Драже Тик Так Цитрусовый Микс, 16г",80916611,шт,375
"Драже Тик Так Мята, 16 г",80050124,шт,375
"Драже Тик Так Клубничный Микс, 16 г",8000500191712,шт,375
"Драже Тик Так Апельсин, 49 г",4008400399324,шт,800
"Драже Тик Так Апельсин, 16 г",80050025,шт,375
Драже Тик Так Мята 49 г,4008400395029,шт,695
Драже Тик Так Цитрусовый микс 49 г,8000500401026,шт,695
"Albeni Bites neченье кара, мол.шок. кр. печенья 72гр",4870112002775,шт,345
"Холлс Оригинальный, 25 гр леденцы",46164209,шт,280
"Холлс Мед и Лимон, 25 гр",46164230,шт,280
"Холлс Mini Mints со вкусом мяты 12,5гр",57023656,шт,325
Холлс Кола и кофеин 25 гр леденцы,7622201102562,шт,280
"Жеват Рез Eclipse Лед Вишня 13,6г",42124016,шт,275
"Жеват Рез Eclipse Лед Ягода13,6г",46107084,шт,275
"Жеват Рез Eclipse Лед Свеж 13,6г",42101901,шт,275
"Жеват Рез Orbit Лед Арбуз13,6г",42113270,шт,250
"Жеват Рез Orbit Лед Эвкалипт13,6г",50173617,шт,250
"Жеват Рез Orbit Лед Клубника Банан13,6г",42203100,шт,250
"Жеват Рез Orbit Лед Ягодный Микс 13,6г",46116482,шт,250
"Жеват Рез Orbit Бабл 13,6г",46141538,шт,250
"Жеват Рез Orbit Лед White13,6г",42113164,шт,250
Холлс Ментол Экстра,7622210514974,шт,280
Мармеладки Бонпари Кошмарики,4600680001982,шт,520
Мармеладки Бонпари Кисл Черв,8593893506268,шт,520
Мармеладки Бонпари Машины,8593893118362,шт,565
Мармеладки Бонпари Медведи,8593893413603,шт,565
Суфле Кислые Кубы Бонпари,4600680007946,шт,565
SW MISKETS Желейные мишки в молочном шоколаде 20 гр.,8680244928081,шт,210
SW MISKETS  молочном шоколад и цвет.сахр.солен.жар.арахис 20 гр,9300727406540 8680244928104,шт,195
SW MISKETS  Цветное Желе с сахаром и молочным шоколадом 20 гр,8680244928111,шт,195
SW MISKETS  молочном шок драже с фундуком 20 гр,8680244929668,шт,325
SW MISKETS  молочном шок драже миндальное 20 гр,8680244929675 8680244929651,шт,325
SW MISKETS  молочном шок драже с фисташками 20 гр,8680244928098,шт,390
Холлс Вишня 25 гр,7622202049439,шт,270
Хотвилс 3в1 А5686,2090000013085,шт,"2,700"
Жеват резинка Mentos PFruit Roll Арбуз 2гр,46231529,шт,50
Мармелад Чупа Чупс кислые Фансы  30*70гр,4602606017671,шт,540
Шоколад Аленка много молока 1/90*90,4600080299132,шт,825
Шоколад Аленка пористый 1/095,4600080293208,шт,825
Шоколад Аленка злаки молоко 1/45,4600300078127,шт,365
Шоколад Аленка вар сгущ молоко 1/48,4600300080014,шт,365
Шоколад Красный Октябрь молочный порист 1/90,4600080299019,шт,985
Шоколад Красный Октябрь молоч порист  с тертым менд1/90,4600080299026,шт,985
Шоколад Красный Октябрь молоч гранул капуч1/90,4600080298715,шт,985
Шоколад Красный Октябрь молоч фундук1/90,4600080298708,шт,985
Зефирная косичка Маршмеллоу ВладА4 40гр,6925925903639,шт,730
Чупа Чупс Кислорот 12*100*12гр,46240729,шт,85
Чупа Чупс Двойная порция ассорти 12х24g,6921211103509,шт,225
Чупа Чупс Мелоди ассорти 6х48х15g,84196842 84196842,шт,225
Mars Minis Everest 182 gr,4607065372033,шт,"1,200"
Snickers minis Everest 9*180 gr.,4607065000073,шт,"1,200"
MMS c арахисом 28*80 гр,4660085510908,шт,630
MMS шоколад Everest  28*80 гр,4660085510915,шт,630
MMS сол арахис Everest  28*80 гр,4660085514975,шт,630
Milky Way Everest 6*36*26 g,4011100091993,шт,210
Milky Way Минис Everest 9*176 гр.,4607065372026,шт,"1,200"
Twix Минис Everest 184 гр.,5000159443630,шт,"1,200"
MMS с соленым арахисом 5*32*45 гр.,4607065731755,шт,460
"Five Сл.ягоды 18*10*31,2 гр",42182092,шт,545
"Five Мята  18*10*31,2 гр",42182115,шт,545
"Жеват Рез Orbit  Spearmint13,6г",50173822,шт,250
"Жеват Рез Orbit Сладк Мята13,6г",50173808,шт,250
"Жеват Рез Orbit Winterfresh13,6г",50173976,шт,250
"Жеват Рез Orbit Бел.клас.13,6г",40099484,шт,250
"Жеват Рез Orbit Бел.ос.мята.13,6г",42069942,шт,250
"Жеват Рез Orbit Освеж.цитр.13,6г",46177872,шт,250
"Жеват Рез Orbit Raspberry Pomegranate13,6г",46249876,шт,250
"Жеват Рез Orbit Spearmint Pomegranate13,6г",4660085511509,шт,325
Жеват Рез Orbit Бел.bublmnt 20.4г,46153715,шт,325
Жеват Рез Orbit Клубн.банан.20*4 г,46146632,шт,325
Жеват Рез Orbit Слад.Мята.20*4 г,46146625,шт,325
Жеват Рез Orbit Бел.соч.яб.20*4 г,46196613,шт,325
"Жеват Рез Orbit Бел.неж.мята.20,4 г,",46153708,шт,325
Жеват Рез Orbit Бел.Bblmnt 68 gr,4009900530224,шт,"1,300"
"Жеват Рез Orbit Классическ 18*20*10,2 гр.",50173372,шт,195
Skitles Фрукты 12*12*38 г,4011100156364,шт,325
Skittles 2 в1 12*12*38 г,42203223,шт,325
Skitles Фрукты 26*70 г.,4660085510014,шт,545
"Ментос ПФ Ролл Свежая Мята 12х24х15,5.",46214614,шт,250
Жевательные конфеты FRUITTELLA Кислый микс 2в/1,4602606017596,шт,395
ФТ Ассорти 9х21 х 41 г.,4602606010924,шт,395
ФТ Клубничный Йогрут  9х21 х 41 г.,46156686,шт,390
FITNESS CHOC CHOCO Banana16x23.5g N22 KZ,5900020033994,шт,370
Шоколад Гудмикс Карамель Дуо 35гр,4600680025438,шт,520
Шоколад Гудмикс Печенье Дуо 35гр,4600680025452,шт,290
Жевательные Конфеты BLACK Челендж 15гр,4627112757958,шт,150
Жев. мармелад HIPPO BONDI&FRIENDS 30 гр,4620017455547,шт,70
Леденцы Помада 3гр,9555108413494,шт,90
Жеват резинка Mentos Spearmint 2гр,46226617,шт,50
"Мармелад Чупа Чупс Sour Long BeLts, 18х120g",4602606015721,шт,880
Барни 150гр. Абрикос,7622201636395,шт,"1,195"
"Холлс Лесные ягоды  25,2гр леденцы",7622202051104,шт,250
Мармелад Чупа Чупс Кислые фансы 30х70g,4602606016353,шт,445
"Холлс Мед и лимон   25,2гр леденцы",7622202049415,шт,250
Жеват резинка Mentos PFruit Roll Клубника 2гр,46226624,шт,50
ЧЧ Milk tea со вкусом клубники и персика 15 г,6921211119845,шт,250
ЗавтракГудмикс Хрустящие Палочки 210гр,4600680028347,шт,935
Мармелад Бургер,2500709420010,шт,75
Конфетки Унитаз,2500709430019,шт,300
Конфетки Браслет часики,2500709440018,шт,60
Мармелад BELBETO 75гр,8690146102458,шт,435
Мармеладки глаз Зд,2500709460016,шт,80
Мармеладки лента метр,8690997085443,шт,100
Конфеты ТИК ТАК BELBETO,2500709480014,шт,75
Желе Омлет,2500709490013,шт,175
Желе Кубики,2500709500019,шт,75
Шоколад Натс Брауни 66гр,46247919,шт,490
Mentos PW Вишня 8x6x54g,46260864,шт,995
"Жеват Рез Orbit Тропическое манго13,6г",46236197,шт,250
Жевательная резинка с тату Тату Бум,4627197489706,шт,20
Жеват мармелад Крут фрут 70гр Сороконожки,4620017458661,шт,150
Жеват мармелад Крут фрут 70гр Мозг,4690329015425,шт,155
Чупа Чупс XXL Flavors Playlist 12*40*29г,4602606014861 46234964,шт,205
Хотстеры 250гр,4607111034199,шт,"1,410"
Мармелад Чупа Чупс Кислые фансы 15х150гр,4602606017657,шт,885
Мармелад Чупа Чупс роллсы 15х150гр,4602606017633,шт,885
Ментос ПФ PURE нежная мята 120гр,4602606017121,шт,"1,460"
Мармелад Jolly Fun дыня-арбуз 70гр/40,4780111074478,шт,285
Мармелад Jolly Fun персик-клубника 70гр/40,4780059607639,шт,285
Мармелад Jolly Fun кола-фанта 70гр/40,4780059607646,шт,285
Жеват мармелад мамба сочный центр 24х70г,4014400922929,шт,650
Жеват мармелад мамба Команда пиратов 24х70г,4014400928709,шт,650
Жеват мармелад мамба Кислые звездочки 24х20г,401440934564 4014400934564,шт,650
Жевательная резинка Fresboom МЯТА,4810802670884 4870202670884,шт,10
Жевательная резинка Fresboom Клубника,4780102220822 4870202670860,шт,10
Мармеладки глаз,6939639500367 6974041500468,шт,120
Шоколад молочный Ozera Extra milk salt 90г,4690329015081,шт,535
Шоколад молочный Ozera Pinaplee 90г,4690329016248,шт,490
Шоколад молочный Ozera Straw 90г,4690329016231,шт,600
Шоколад Белый Яшкино 90гр,4690329007567,шт,485
Шоколад молочный Ozera Extra milk 90г,4690329016699,шт,525
Яйцо шокол-е с игр-кой Т36 Весна,80775034,шт,600
COLA Bottle NIPPE CANDY Лед.фор.соск.6гр,6971138830934,шт,75
"Жеват конфета Мамба 26,5г",40144955,шт,265
Шоколадная плитка Мерси Молочный 15х100г,4014400914245,шт,"1,320"
Шоколадная плитка Мерси Кофе 15х100г,4014400914269,шт,"1,320"
Шоколадная плитка Мерси Лесной орехи и Миндаль 15х100г,4014400914252,шт,"1,320"
"Леденцы карамельные на палочке с жвачкой ""Frumi"" 16гр",48744232,шт,150
"Маршмеллоу ""Confectum Hearts"" изделия кондитерские сахаристые 70гр",4630116180691,шт,365
Маршмеллоу со вкусом малины и черники 40гр,4630116181773,шт,315
Шоколад babyfox плитка тонкая 90гр,4690329017054,шт,520
"Жеват конфета Мамба 2в126,5г",40144023,шт,265
Кукурузные Шарики в темной глазури БИБИШКИ - Сюрприз 30 гр.,4607135073495,шт,"1,315"
Конфеты жевательные в шоколаде со вкусом тропик ассорти 35г/30шт,4620004439925,шт,260
Шоколад АГ Макс Фан 140г Ягодный Микс.,7622202048265,шт,"1,380"
АГ 80 гр Белый пористый шоколад.,7622202035401,шт,730
Milka 90 г Молочный шоколад с двухслойной начинкой клубника - сливки.,7622202396045,шт,910
"Дирол перечная мята 60 минут 19,5 гр жев.рез. б/с.",7622202228865,шт,365
"Дирол клубника и лайм 60 минут 19,5 гр жев.рез. б/с.",7622202228896,шт,365
Хотвилс 3в1Супергерои А5686,2500606790018,шт,"1,845"
Хотвилс 3в1Супергерои А5686,2500606800014,шт,"1,845"
Мармеладки Бонпари Бравокадо,4600680013268,шт,710
Мармеладки Бонпари СтранаЕдиногоров,4600680008202,шт,710
Мармеладки Бонпари ДУА Роял корги,4600680029429,шт,710
Мармеладки Бонпари Джоуи кола 15х100г,4600680028132,шт,710
Карамель ALPENLIEBE со сливочным вкусом 150гр,8935001727989,шт,"1,155"
Мармелад на палочке,2500805870016,шт,250
Жев.конфеты Мамба Ягодная,4014400935486,шт,670
Мармелад Глаз,6971486423864,шт,80
Шоколад молочный с крекером 90гр,4690329007550,шт,440
АГ 80 гр Молочный шоколад со вкусом чизкейка и печенье Орео,2500607440011 7622201700706,шт,765
Яйцо шокол-е с игр-кой Т36 Евро Лицензия,54088191,шт,730
Хотвилс 3в1 А888-25Т,2090000001426,шт,"2,025"
"Жевательные конфеты Мамба Тропикс 26,5г",40144122,шт,265
Жевательные конфеты Мамба Волшебный Твист 70г,4014400932683,шт,665
Зажигалки BIC D1,3086123682825,шт,500
Snickers Пломбир 5*32*81 gr.,4607065735425,шт,580
Snickers White 5*32*81 gr.,4607065730109,шт,580
АГ 85 гр Молочный шок с шоколадной начинкой с кусочками печенья Орео,2500700310013 7622201700737 7622202394898,шт,685
АГ 85 гр Два шоколада Орео,7622202047206,шт,685
АГ 85 гр Черника с кусочками печенья Орео,7622202048234,шт,685
АГ 85 гр Клубника с кусочками печенья Орео,7622202047961,шт,685
Мармелад Чупа Чупс Роллсы 100гр,4602606018241,шт,660
Шоколад АГ 80г Молочный шоколад с клубнично-йогуртовой начинкой,7622202035463,шт,730
Доктор-Сумка,2500808590010,шт,"2,100"
Инструмент-Сумка,2500808600016,шт,"2,100"
Кухня-Сумка,2500808610015,шт,"2,330"
Пазл-Игра,2500808620014,шт,"1,800"
"Драже Тик Так Холодная Мята, 16 г",77020512,шт,325
"Мармелад ""Желейный в сахаре"" 250гр",4870036004237,шт,695
"Мармелад ""Ягодная поляна"" 250гр",4870036006439,шт,695
"Мармелад ""В шоколаде"" 275гр",4870036001816,шт,865
Драже в молочном шоколаде с кусочками Персика,8698701021985,шт,"1,400"
Драже в молочном шоколаде с кусочками Малины,8698701021992,шт,"1,400"
Драже в молочном шоколаде с кусочками Клубники,8698701021978,шт,"1,400"
Жеват мармелад Фруктовый Микс 24х72г,4014400922905,шт,650
Жеват мармелад Молочные Привидения 15х90г,4014400932188,шт,765
Шоколад KitKat ICON Santa RAMB 30Х29г DE,8000300423174,шт,465
Шоколад KitKat ICON Shapes RA MB 15Х65г DE,8000300407990,шт,"1,205"
MMS Шоко Апельсин 6х32х45г,4670082502950,шт,460
M&M*s Minis 150х20г,5900951315084,шт,225
Milka 150г Печенье покрытое молочным шоколадом,7622201791124,шт,"1,615"
КИДСБОКС Десерт с подарком 20 г.,4610103303227 4630075793062 4630075792201 46211408 4630055437573 4610103302169 46213433,шт,715
Жеват мармелад Фруктs- йогурт 24х72г,4014400922912,шт,650
АГ 80г Темный пористый шоколад.,7622202035432,шт,730
"Холлс Экстра 25,2 гр леденцы.",7622202049392,шт,250
"Холос Оргинальный 25,2 гр леденцы",7622202051234,шт,250
"Chocolate Coin - Шоколадная Монета 2,6г",2500901950018,шт,20
Snickers Crisp Everest 7[х24(3х20г),4607065738310,шт,580
Шоколад Kit-Kat Чанки двойной Шоко 24х42г,3800020492901,шт,520
Жевательная резинка Fresboom в ассортименте,4870202670907 4870202670631,шт,10
Ролл кэнди ассорти 24г,6939639500275,шт,100
Бонус карт,2402586214341,шт,65
"Жевательная резинка ""лимоника"" ЯБЛОКО",4870202671270,шт,15
Мармелад жевательный Fruittella  супер бутылочки 100гр,4602606017435,шт,625
Леденец фигурный в ассортим,4870208390427 4870208390328,шт,250
Леденец Елка,4870208390496,шт,650
Леденец Songa Lol,4870208390403,шт,100
Пастила в ассортим,4870208390458,шт,585
Ферреро Рошер Т24х4,800050000673,шт,"6,485"
TWIX Caramel RW 22.5 gr 24x12,6221134013207,шт,220
MILKYWAY CrspRolls 22.5 gr 24x12.,6221134013078,шт,220
BOUNTY Coconut RW 23.4 gr 24x12.,6221134013320,шт,240
Хрутка МолШокоМолНач 20х90гр,4600680033068,шт,705
ЧЧ Мини 12х100 Ассорти,8941174060105 8941174060099,шт,130
"Mentos PV Roll Вишня 12x24x15,5",46260888,шт,250
"Жевательная резинка с тату Тату Бум ассорти 12,5г",4627112751123,шт,100
Хотвилс 5в1 в кейсе А888-27Т,2090000000382,шт,"3,720"
"Five Арбуз  18*10*31,2 гр",42188889,шт,545
Шоколад Roshen пористый белый карамельный 80гр,4823077626241,шт,650
Шоколад Roshen пористый экстачерный 80гр,4823077626203,шт,650
Жев Резинка со вкусом клубники,2500907240014,шт,
Жевательно драже Ментос в ассортименте,46258854 46274441,шт,390
Жеват мармелад мамба Ягодный центр 24х70г,4014400936926,шт,650
Драже в темном шоколаде с изюмом DARK CHOCOLATE RAISIN 125гр.,8698701011825,шт,"1,170"
Карамель ALPENLIEBE со сливочным вкусом 32 гр,8935001727996,шт,290
Milka 276 г шоколад с арахисом и карамелью.,7622210694331,шт,"4,165"
Шоколад АГ 85г Молочный шоколад со вкусом чизкейка и  печенья Орео.,2500708100012 7622202394867,шт,830
Сухой йогурт в Банке слдакие палочки 3гр,2500908370017,шт,20
Шок.Монеты Биткоин 9х100х6г,2500908380016,шт,110
"Жеват Рез Five Слад. ягоды 18х15х15,6г",46207739,шт,320
Хей желешки в ассортименте в боксе,4870246880652,шт,100
АКЦИЯ,,,
Напиток Coca Cola 1+1,2500602510016,шт,940
Хранение товара и оборудования,2500706660013,шт,"10,000"
"Мед,Варенье,Джемы",,,
Джем Клубничный Махеев стакан 400 гр.,4604248006952,шт,"1,235"
Джем Малиновый Махеев стакан 400 гр.,4604248006914,шт,"1,235"
Джем Лесные ягоды Махеев стакан 400 гр.,4604248016289,шт,"1,235"
Джем Черносмородиновый Махеев стакан 400 гр.,4604248006945,шт,"1,235"
Ореховое ассорти в меду,745125165240,шт,"1,560"
Мед с грецким орехом,745125165271,шт,"1,560"
Мед Натуральный 300гр,745125165301,шт,"1,560"
Джем Лимон-Имбирь Махеев стакан 400 гр.,4604248017767,шт,"1,235"
Джем Лимон-Имбирь Махеев дой пак 300 гр.,4604248017712,шт,820
Джем Клубничный АБРИКО 270гр,4606428221902,шт,485
Джем Малиновый АБРИКО 270гр,4606428221889,шт,555
Джем Абрикосовый АБРИКО 270гр,4606428221896,шт,485
Джем Апельсиновый АБРИКО 270гр,4606428228000,шт,485
Ванилин Трапеза 2г,4605209003690,шт,95
Агар-агар Трапеза 10г,4605209012777,шт,220
Мед печенье,2500700190011,шт,"1,200"
Крем мед 300 гр,745125165295,шт,"1,820"
Лесной мед 300 гр,745125165264,шт,"1,560"
Рыбная консервация,,,
"Килька балт неразд, в томатном соусе ключ 240 гр/18",4605463002903,шт,760
"Килька балт (шпрот) неразд. обжар, в томатном соусе ключ 24 гр/18",4605463000015,шт,810
"Килька балт. обжар, с овощами томатном соусе по-мексикански ключ 240 гр/18",4605463006536,шт,745
