file,symbology,barcode,status
IMG_7214(1).HEIC,EAN13,4870004936331,ok
IMG_7214.HEIC,EAN13,4870004936331,ok
IMG_7215(1).HEIC,,,not_found
IMG_7215.HEIC,,,not_found
IMG_7216(1).HEIC,,,not_found
IMG_7216.HEIC,,,not_found
IMG_7217(1).HEIC,EAN13,4870004931053,ok
IMG_7217.HEIC,EAN13,4870004931053,ok
IMG_7219(1).HEIC,EAN13,4870004932296,ok
IMG_7219.HEIC,EAN13,4870004932296,ok
IMG_7218(1).HEIC,,,not_found
IMG_7218.HEIC,,,not_found
IMG_7222(1).HEIC,EAN13,4007415005404,ok
IMG_7221(1).HEIC,,,not_found
IMG_7221.HEIC,,,not_found
IMG_7222.HEIC,EAN13,4007415005404,ok
IMG_7223(1).HEIC,,,not_found
IMG_7223.HEIC,,,not_found
IMG_7224.HEIC,,,not_found
IMG_7224(1).HEIC,,,not_found
IMG_7226(1).HEIC,EAN13,4870001548032,ok
IMG_7226.HEIC,EAN13,4870001548032,ok
IMG_7225(1).HEIC,,,not_found
IMG_7225.HEIC,,,not_found
IMG_7228(1).HEIC,,,not_found
IMG_7228.HEIC,,,not_found
IMG_7227(1).HEIC,,,not_found
IMG_7227.HEIC,,,not_found
IMG_7230(1).HEIC,EAN13,4008638213805,ok
IMG_7230.HEIC,EAN13,4008638213805,ok
IMG_7229(1).HEIC,,,not_found
IMG_7229.HEIC,,,not_found
IMG_7231(1).HEIC,,,not_found
IMG_7231.HEIC,,,not_found
IMG_7232(1).HEIC,,,not_found
IMG_7232.HEIC,,,not_found
IMG_7234(1).HEIC,EAN13,4870001545376,ok
IMG_7234.HEIC,EAN13,4870001545376,ok
IMG_7233(1).HEIC,,,not_found
IMG_7233.HEIC,,,not_found
IMG_7236(1).HEIC,EAN13,4007415005664,ok
IMG_7236.HEIC,EAN13,4007415005664,ok
IMG_7235(1).HEIC,,,not_found
IMG_7235.HEIC,,,not_found
IMG_7238(1).HEIC,EAN13,4607116769867,ok
IMG_7238.HEIC,EAN13,4607116769867,ok
IMG_7237(1).HEIC,,,not_found
IMG_7237.HEIC,,,not_found
IMG_7240(1).HEIC,EAN13,4607116769478,ok
IMG_7240.HEIC,EAN13,4607116769478,ok
IMG_7239(1).HEIC,,,not_found
IMG_7239.HEIC,,,not_found
IMG_7242(1).HEIC,EAN13,4607116769485,ok
IMG_7242.HEIC,EAN13,4607116769485,ok
IMG_7241(1).HEIC,,,not_found
IMG_7241.HEIC,,,not_found
IMG_7243(1).HEIC,,,not_found
IMG_7243.HEIC,,,not_found
IMG_7244(1).HEIC,,,not_found
IMG_7244.HEIC,,,not_found
IMG_7246(1).HEIC,EAN13,4607116769461,ok
IMG_7246.HEIC,EAN13,4607116769461,ok
IMG_7245(1).HEIC,,,not_found
IMG_7245.HEIC,,,not_found
IMG_7248(1).HEIC,EAN13,4660136781677,ok
IMG_7248.HEIC,EAN13,4660136781677,ok
IMG_7247(1).HEIC,,,not_found
IMG_7247.HEIC,,,not_found
IMG_7250(1).HEIC,EAN13,4660136780656,ok
IMG_7250.HEIC,EAN13,4660136780656,ok
IMG_7249(1).HEIC,,,not_found
IMG_7249.HEIC,,,not_found
IMG_7251(1).HEIC,,,not_found
IMG_7251.HEIC,,,not_found
IMG_7252(1).HEIC,,,not_found
IMG_7252.HEIC,,,not_found
IMG_7254(1).HEIC,EAN13,4870001546281,ok
IMG_7253(1).HEIC,,,not_found
IMG_7254.HEIC,EAN13,4870001546281,ok
IMG_7253.HEIC,,,not_found
IMG_7256(1).HEIC,EAN13,8437004811103,ok
IMG_7256.HEIC,EAN13,8437004811103,ok
IMG_7255(1).HEIC,,,not_found
IMG_7255.HEIC,,,not_found
IMG_7258(1).HEIC,EAN13,4660136780649,ok
IMG_7258.HEIC,EAN13,4660136780649,ok
IMG_7257(1).HEIC,,,not_found
IMG_7257.HEIC,,,not_found
IMG_7260(1).HEIC,EAN13,4660136781264,ok
IMG_7260.HEIC,EAN13,4660136781264,ok
IMG_7259(1).HEIC,,,not_found
IMG_7259.HEIC,,,not_found
IMG_7262(1).HEIC,EAN13,4630035912816,ok
IMG_7262.HEIC,EAN13,4630035912816,ok
IMG_7261(1).HEIC,,,not_found
IMG_7261.HEIC,,,not_found
IMG_7265(1).HEIC,EAN13,4660136780762,ok
IMG_7265.HEIC,EAN13,4660136780762,ok
IMG_7263(1).HEIC,,,not_found
IMG_7263.HEIC,,,not_found
IMG_7267(1).HEIC,EAN13,4660136781868,ok
IMG_7267.HEIC,EAN13,4660136781868,ok
IMG_7266(1).HEIC,,,not_found
IMG_7266.HEIC,,,not_found
IMG_7269(1).HEIC,EAN13,4810389005598,ok
IMG_7269.HEIC,EAN13,4810389005598,ok
IMG_7268(1).HEIC,,,not_found
IMG_7268.HEIC,,,not_found
IMG_7270(1).HEIC,,,not_found
IMG_7270.HEIC,,,not_found
IMG_7271(1).HEIC,,,not_found
IMG_7271.HEIC,,,not_found
IMG_7273(1).HEIC,EAN13,4810389003372,ok
IMG_7273.HEIC,EAN13,4810389003372,ok
IMG_7272(1).HEIC,,,not_found
IMG_7272.HEIC,,,not_found
IMG_7276(1).HEIC,EAN13,8594001692989,ok
IMG_7276.HEIC,EAN13,8594001692989,ok
IMG_7277(1).HEIC,EAN13,8594001692989,ok
IMG_7277.HEIC,EAN13,8594001692989,ok
IMG_7278(1).HEIC,EAN13,8594001692996,ok
IMG_7278.HEIC,EAN13,8594001692996,ok
IMG_7279(1).HEIC,EAN13,8594001692996,ok
IMG_7279.HEIC,EAN13,8594001692996,ok
IMG_7280(1).HEIC,EAN13,8594001693030,ok
IMG_7280.HEIC,EAN13,8594001693030,ok
IMG_7281(1).HEIC,EAN13,8594001693030,ok
